date,facility_id,units,cph,error_rate,hours_run
2026-01-19,atl-01,22529,137.81,1.75,57.6
2026-01-20,atl-01,24905,142.06,2.19,55.7
2026-01-21,atl-01,20775,141.79,2.12,58.1
2026-01-22,atl-01,22271,135.91,2.25,58.9
2026-01-23,atl-01,23009,139.9,2.1,57.6
2026-01-24,atl-01,20178,140.24,2.41,60.4
2026-01-26,atl-01,23218,133.61,2.44,60.8
2026-01-27,atl-01,20383,140.96,1.83,61.3
2026-01-28,atl-01,21747,145.59,1.95,58.3
2026-01-29,atl-01,22876,138.41,2.2,59.6
2026-01-30,atl-01,21766,140.51,2.78,60.1
2026-01-31,atl-01,20468,136.9,1.84,58.6
2026-02-02,atl-01,21878,136.84,2.45,57.7
2026-02-03,atl-01,22211,130.64,1.97,56.9
2026-02-04,atl-01,22301,136.16,2.33,57.8
2026-02-05,atl-01,20693,136.1,2.38,57.7
2026-02-06,atl-01,23305,143.18,1.99,59.1
2026-02-07,atl-01,23420,144.01,1.75,60.6
2026-02-09,atl-01,20434,139.05,2.57,59.0
2026-02-10,atl-01,22356,132.01,2.26,54.8
2026-02-11,atl-01,22950,133.7,2.06,58.3
2026-02-12,atl-01,24157,137.18,2.51,58.3
2026-02-13,atl-01,23759,141.95,2.13,61.3
2026-02-14,atl-01,20416,142.75,2.1,61.6
2026-02-16,atl-01,22043,132.91,2.73,58.7
2026-02-17,atl-01,24116,133.13,1.6,54.1
2026-02-18,atl-01,20975,136.03,2.23,58.9
2026-02-19,atl-01,22879,137.43,2.25,57.6
2026-02-20,atl-01,22854,136.63,1.45,57.6
2026-02-21,atl-01,23579,141.75,1.99,63.9
2026-02-23,atl-01,21087,138.62,2.32,52.6
2026-02-24,atl-01,20315,138.69,2.09,61.2
2026-02-25,atl-01,25525,133.15,1.81,58.3
2026-02-26,atl-01,22860,145.61,1.6,59.7
2026-02-27,atl-01,23161,149.01,2.43,57.4
2026-02-28,atl-01,21771,145.53,2.4,58.2
2026-03-02,atl-01,20907,136.45,1.48,61.3
2026-03-03,atl-01,21560,139.26,2.14,58.0
2026-03-04,atl-01,23749,139.17,2.74,58.7
2026-03-05,atl-01,21440,136.23,2.02,59.8
2026-03-06,atl-01,23055,139.98,1.79,59.7
2026-03-07,atl-01,20526,144.16,1.86,55.1
2026-03-09,atl-01,22884,143.28,2.79,60.0
2026-03-10,atl-01,19455,140.61,1.98,55.8
2026-03-11,atl-01,25823,141.74,1.81,59.4
2026-03-12,atl-01,21532,145.88,2.27,56.5
2026-03-13,atl-01,21250,144.25,2.26,59.0
2026-03-14,atl-01,22990,143.28,1.99,62.1
2026-03-16,atl-01,21143,140.23,0.95,52.7
2026-03-17,atl-01,20550,138.55,2.43,57.7
2026-03-18,atl-01,19713,138.61,2.06,62.1
2026-03-19,atl-01,21905,137.6,2.35,60.1
2026-03-20,atl-01,23864,137.64,1.95,59.9
2026-03-21,atl-01,23289,156.42,2.45,60.3
2026-03-23,atl-01,22736,135.27,1.75,58.2
2026-03-24,atl-01,21343,136.87,1.3,60.4
2026-03-25,atl-01,19485,139.23,2.05,59.1
2026-03-26,atl-01,21884,145.51,1.52,61.2
2026-03-27,atl-01,23381,146.26,2.32,58.1
2026-03-28,atl-01,22290,140.36,2.11,58.6
2026-03-30,atl-01,21286,140.34,1.71,62.7
2026-03-31,atl-01,22221,139.69,2.19,57.6
2026-04-01,atl-01,21895,147.27,1.62,57.0
2026-04-02,atl-01,20145,143.93,1.92,53.1
2026-04-03,atl-01,22336,146.91,2.0,59.3
