date,facility_id,units,cph,error_rate,hours_run
2026-01-19,chr-05,10429,66.06,1.19,28.1
2026-01-20,chr-05,11352,70.67,0.81,25.1
2026-01-21,chr-05,12373,72.18,0.98,28.1
2026-01-22,chr-05,11262,73.51,0.73,25.8
2026-01-23,chr-05,13178,71.2,0.58,28.4
2026-01-24,chr-05,11442,72.23,1.1,29.5
2026-01-26,chr-05,10449,72.73,0.86,28.2
2026-01-27,chr-05,11470,67.39,0.89,26.5
2026-01-28,chr-05,10176,72.36,1.19,28.4
2026-01-29,chr-05,10490,70.59,0.62,27.7
2026-01-30,chr-05,11976,71.37,0.81,29.0
2026-01-31,chr-05,9974,73.97,0.92,27.2
2026-02-02,chr-05,11633,68.99,0.98,27.4
2026-02-03,chr-05,10234,69.77,0.52,26.0
2026-02-04,chr-05,12013,73.27,1.29,28.9
2026-02-05,chr-05,12676,75.72,0.76,28.4
2026-02-06,chr-05,11775,72.65,1.02,29.3
2026-02-07,chr-05,12778,73.12,0.92,27.0
2026-02-09,chr-05,11348,70.74,0.52,27.4
2026-02-10,chr-05,11475,72.16,0.74,28.3
2026-02-11,chr-05,10686,73.05,1.0,28.8
2026-02-12,chr-05,10542,71.05,0.94,28.3
2026-02-13,chr-05,12765,76.51,0.95,26.5
2026-02-14,chr-05,11695,74.34,1.1,28.2
2026-02-16,chr-05,11524,68.94,0.92,28.9
2026-02-17,chr-05,11034,69.17,0.65,28.7
2026-02-18,chr-05,13191,73.42,1.02,27.8
2026-02-19,chr-05,11395,70.93,0.72,28.7
2026-02-20,chr-05,11447,74.54,1.3,28.7
2026-02-21,chr-05,10904,74.37,0.95,28.7
2026-02-23,chr-05,10524,72.47,0.74,27.9
2026-02-24,chr-05,11304,68.76,1.18,27.2
2026-02-25,chr-05,10545,70.79,0.83,30.3
2026-02-26,chr-05,12624,73.75,1.31,29.4
2026-02-27,chr-05,12569,73.6,1.01,29.2
2026-02-28,chr-05,12344,74.51,0.94,27.3
2026-03-02,chr-05,11274,70.0,0.8,28.6
2026-03-03,chr-05,10889,70.94,0.88,28.3
2026-03-04,chr-05,11426,72.77,0.61,29.2
2026-03-05,chr-05,11236,72.7,1.01,27.7
2026-03-06,chr-05,11062,74.23,0.8,28.5
2026-03-07,chr-05,11723,74.95,0.87,25.3
2026-03-09,chr-05,12082,69.19,0.74,29.0
