date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-01-19,atl-03,223,6,122,100,1,40060,0.102
2026-01-20,atl-03,210,8,115,94,1,41127,0.142
2026-01-21,atl-03,218,8,119,98,1,38473,0.108
2026-01-22,atl-03,222,6,122,99,1,41807,0.122
2026-01-23,atl-03,211,6,116,94,1,44186,0.114
2026-01-24,atl-03,222,11,122,99,1,43569,0.086
2026-01-26,atl-03,225,6,123,101,1,34781,0.126
2026-01-27,atl-03,219,11,120,98,1,37788,0.069
2026-01-28,atl-03,220,12,121,99,0,43424,0.069
2026-01-29,atl-03,218,6,119,98,1,42536,0.056
2026-01-30,atl-03,227,7,124,102,1,34920,0.116
2026-01-31,atl-03,223,5,122,100,1,47780,0.116
2026-02-02,atl-03,218,11,119,98,1,41689,0.126
2026-02-03,atl-03,218,11,119,98,1,38759,0.098
2026-02-04,atl-03,221,9,121,99,1,35990,0.13
2026-02-05,atl-03,228,8,125,102,1,38186,0.131
2026-02-06,atl-03,224,6,123,100,1,32950,0.125
2026-02-07,atl-03,215,10,118,96,1,44217,0.157
2026-02-09,atl-03,221,7,121,99,1,42373,0.121
2026-02-10,atl-03,231,5,127,103,1,36837,0.116
2026-02-11,atl-03,218,7,119,98,1,40998,0.166
2026-02-12,atl-03,218,10,119,98,1,40833,0.048
2026-02-13,atl-03,217,5,119,97,1,42384,0.099
2026-02-14,atl-03,221,10,121,99,1,39568,0.086
2026-02-16,atl-03,224,9,123,100,1,38435,0.077
2026-02-17,atl-03,225,8,123,101,1,36819,0.105
2026-02-18,atl-03,231,3,127,103,1,42583,0.13
2026-02-19,atl-03,211,8,116,94,1,37919,0.127
2026-02-20,atl-03,218,6,119,98,1,46260,0.064
2026-02-21,atl-03,211,9,116,94,1,46186,0.066
2026-02-23,atl-03,228,8,125,102,1,38502,0.089
2026-02-24,atl-03,216,8,118,97,1,40388,0.035
2026-02-25,atl-03,223,10,122,100,1,36376,0.12
2026-02-26,atl-03,217,10,119,97,1,43026,0.098
2026-02-27,atl-03,219,6,120,98,1,39170,0.071
2026-02-28,atl-03,217,5,119,97,1,41722,0.072
2026-03-02,atl-03,211,8,116,94,1,38458,0.092
2026-03-03,atl-03,222,8,122,99,1,38202,0.138
2026-03-04,atl-03,217,10,119,97,1,41110,0.093
2026-03-05,atl-03,211,7,116,94,1,37824,0.095
2026-03-06,atl-03,226,10,124,101,1,39270,0.099
2026-03-07,atl-03,217,7,119,97,1,45462,0.124
2026-03-09,atl-03,226,10,124,101,1,39869,0.109
2026-03-10,atl-03,213,6,117,95,1,43365,0.073
2026-03-11,atl-03,221,7,121,99,1,44232,0.062
2026-03-12,atl-03,223,7,122,100,1,46112,0.113
2026-03-13,atl-03,206,12,113,92,1,38162,0.105
2026-03-14,atl-03,215,8,118,96,1,44927,0.072
2026-03-16,atl-03,208,11,114,93,1,42482,0.152
2026-03-17,atl-03,218,6,119,98,1,38055,0.103
2026-03-18,atl-03,209,10,114,94,1,43954,0.134
2026-03-19,atl-03,220,9,121,99,0,42209,0.075
2026-03-20,atl-03,231,4,127,103,1,44863,0.082
2026-03-21,atl-03,230,7,126,103,1,40584,0.117
2026-03-23,atl-03,216,7,118,97,1,41491,0.075
2026-03-24,atl-03,216,3,118,97,1,47104,0.053
2026-03-25,atl-03,224,10,123,100,1,42851,0.127
2026-03-26,atl-03,225,11,123,101,1,44528,0.082
2026-03-27,atl-03,237,8,130,106,1,40868,0.085
2026-03-28,atl-03,220,8,121,99,0,47232,0.125
2026-03-30,atl-03,219,8,120,98,1,32473,0.17
2026-03-31,atl-03,203,3,111,91,1,45707,0.126
2026-04-01,atl-03,227,8,124,102,1,41840,0.112
2026-04-02,atl-03,214,13,117,96,1,46072,0.104
2026-04-03,atl-03,222,12,122,99,1,41699,0.126
