date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-01-19,chr-03,321,23,144,112,65,18389,0.287
2026-01-20,chr-03,303,19,136,106,61,21816,0.278
2026-01-21,chr-03,332,26,149,116,67,18033,0.253
2026-01-22,chr-03,325,26,146,113,66,24041,0.288
2026-01-23,chr-03,316,27,142,110,64,23633,0.324
2026-01-24,chr-03,322,27,144,112,66,23380,0.264
2026-01-26,chr-03,333,27,149,116,68,24323,0.241
2026-01-27,chr-03,327,18,147,114,66,24320,0.276
2026-01-28,chr-03,342,25,153,119,70,19733,0.298
2026-01-29,chr-03,338,21,152,118,68,21489,0.342
2026-01-30,chr-03,332,18,149,116,67,18779,0.277
2026-01-31,chr-03,330,23,148,115,67,20906,0.292
2026-02-02,chr-03,307,19,138,107,62,21934,0.309
2026-02-03,chr-03,330,23,148,115,67,18286,0.265
2026-02-04,chr-03,329,22,148,115,66,23494,0.266
2026-02-05,chr-03,307,25,138,107,62,22667,0.279
2026-02-06,chr-03,326,23,146,114,66,21927,0.275
2026-02-07,chr-03,347,24,156,121,70,20340,0.251
2026-02-09,chr-03,325,20,146,113,66,19402,0.322
2026-02-10,chr-03,319,18,143,111,65,20387,0.254
2026-02-11,chr-03,338,21,152,118,68,21735,0.344
2026-02-12,chr-03,343,21,154,120,69,22751,0.274
2026-02-13,chr-03,317,24,142,110,65,20740,0.337
2026-02-14,chr-03,331,21,148,115,68,23600,0.237
2026-02-16,chr-03,331,21,148,115,68,21744,0.289
2026-02-17,chr-03,317,21,142,110,65,20071,0.266
2026-02-18,chr-03,317,24,142,110,65,21465,0.272
2026-02-19,chr-03,328,24,147,114,67,19639,0.36
2026-02-20,chr-03,342,21,153,119,70,20830,0.301
2026-02-21,chr-03,339,17,152,118,69,20382,0.317
2026-02-23,chr-03,322,26,144,112,66,19628,0.328
2026-02-24,chr-03,323,21,145,113,65,18270,0.318
2026-02-25,chr-03,328,27,147,114,67,21123,0.288
2026-02-26,chr-03,329,26,148,115,66,20798,0.271
2026-02-27,chr-03,342,21,153,119,70,22776,0.256
2026-02-28,chr-03,308,25,138,107,63,22091,0.294
2026-03-02,chr-03,319,22,143,111,65,21532,0.278
2026-03-03,chr-03,340,22,153,118,69,22372,0.345
2026-03-04,chr-03,341,25,153,119,69,19193,0.268
2026-03-05,chr-03,341,24,153,119,69,21822,0.299
2026-03-06,chr-03,337,22,151,117,69,22834,0.276
2026-03-07,chr-03,331,25,148,115,68,23384,0.302
2026-03-09,chr-03,311,22,139,108,64,23018,0.279
2026-03-10,chr-03,331,26,148,115,68,18807,0.276
2026-03-11,chr-03,328,23,147,114,67,25683,0.303
2026-03-12,chr-03,329,19,148,115,66,20745,0.247
2026-03-13,chr-03,319,21,143,111,65,19638,0.291
2026-03-14,chr-03,327,22,147,114,66,21192,0.301
2026-03-16,chr-03,340,23,153,118,69,20981,0.277
2026-03-17,chr-03,327,27,147,114,66,20421,0.335
2026-03-18,chr-03,346,24,155,121,70,24599,0.34
2026-03-19,chr-03,333,15,149,116,68,22819,0.263
2026-03-20,chr-03,324,20,145,113,66,19706,0.26
2026-03-21,chr-03,332,27,149,116,67,19254,0.24
2026-03-23,chr-03,312,19,140,109,63,20641,0.269
2026-03-24,chr-03,324,28,145,113,66,18932,0.307
2026-03-25,chr-03,339,26,152,118,69,20472,0.283
2026-03-26,chr-03,332,21,149,116,67,22347,0.359
2026-03-27,chr-03,333,22,149,116,68,24092,0.306
2026-03-28,chr-03,316,16,142,110,64,21819,0.318
2026-03-30,chr-03,318,23,143,111,64,21980,0.324
2026-03-31,chr-03,313,23,140,109,64,22260,0.287
2026-04-01,chr-03,346,22,155,121,70,21083,0.273
2026-04-02,chr-03,329,26,148,115,66,22670,0.324
2026-04-03,chr-03,315,24,141,110,64,21961,0.335
2026-04-04,chr-03,330,18,148,115,67,23120,0.285
2026-04-06,chr-03,328,20,147,114,67,21044,0.34
2026-04-07,chr-03,326,27,146,114,66,21044,0.303
2026-04-08,chr-03,324,23,145,113,66,23515,0.272
2026-04-09,chr-03,328,29,147,114,67,21925,0.342
2026-04-10,chr-03,331,19,148,115,68,19902,0.364
2026-04-11,chr-03,328,23,147,114,67,19088,0.293
