date,facility_id,conveyor_down_m,mhe_down_m,wms_incidents,scanner_faults
2026-01-19,chr-05,0,13,0,2
2026-01-20,chr-05,0,15,0,0
2026-01-21,chr-05,3,12,0,0
2026-01-22,chr-05,0,17,0,0
2026-01-23,chr-05,5,3,0,0
2026-01-24,chr-05,7,19,0,0
2026-01-26,chr-05,3,25,0,0
2026-01-27,chr-05,0,6,1,3
2026-01-28,chr-05,4,8,0,1
2026-01-29,chr-05,2,10,0,1
2026-01-30,chr-05,0,23,0,1
2026-01-31,chr-05,0,22,0,0
2026-02-02,chr-05,2,14,0,1
2026-02-03,chr-05,0,7,1,1
2026-02-04,chr-05,0,12,1,0
2026-02-05,chr-05,11,7,0,0
2026-02-06,chr-05,0,22,0,2
2026-02-07,chr-05,1,22,0,0
2026-02-09,chr-05,8,9,0,1
2026-02-10,chr-05,1,9,0,1
2026-02-11,chr-05,10,18,1,0
2026-02-12,chr-05,0,3,0,2
2026-02-13,chr-05,0,15,1,0
2026-02-14,chr-05,7,16,0,0
2026-02-16,chr-05,0,18,0,1
2026-02-17,chr-05,0,12,0,1
2026-02-18,chr-05,13,16,0,2
2026-02-19,chr-05,0,26,0,2
2026-02-20,chr-05,6,8,0,1
2026-02-21,chr-05,9,5,0,1
2026-02-23,chr-05,2,16,1,3
2026-02-24,chr-05,0,4,0,2
2026-02-25,chr-05,10,0,0,2
2026-02-26,chr-05,1,21,0,2
2026-02-27,chr-05,8,2,0,2
2026-02-28,chr-05,12,21,0,2
2026-03-02,chr-05,0,32,0,2
2026-03-03,chr-05,5,10,0,0
2026-03-04,chr-05,0,21,0,1
2026-03-05,chr-05,2,2,0,1
2026-03-06,chr-05,10,15,1,2
2026-03-07,chr-05,10,20,0,1
2026-03-09,chr-05,0,18,0,1
2026-03-10,chr-05,4,13,0,3
2026-03-11,chr-05,9,18,0,2
2026-03-12,chr-05,0,11,0,3
2026-03-13,chr-05,4,9,0,2
2026-03-14,chr-05,0,12,0,1
2026-03-16,chr-05,13,15,0,1
2026-03-17,chr-05,1,20,0,0
2026-03-18,chr-05,12,14,0,0
2026-03-19,chr-05,0,14,0,0
2026-03-20,chr-05,3,32,0,1
2026-03-21,chr-05,0,13,0,0
2026-03-23,chr-05,0,19,1,2
2026-03-24,chr-05,8,15,0,2
2026-03-25,chr-05,0,6,0,2
2026-03-26,chr-05,10,18,0,0
2026-03-27,chr-05,8,2,0,1
2026-03-28,chr-05,2,3,0,0
2026-03-30,chr-05,0,10,0,2
2026-03-31,chr-05,6,15,0,0
2026-04-01,chr-05,0,8,0,1
2026-04-02,chr-05,0,17,0,2
2026-04-03,chr-05,2,4,0,0
2026-04-04,chr-05,0,5,0,2
2026-04-06,chr-05,1,6,0,2
2026-04-07,chr-05,0,9,0,1
2026-04-08,chr-05,2,24,0,1
2026-04-09,chr-05,5,27,0,2
2026-04-10,chr-05,0,11,0,3
2026-04-11,chr-05,2,4,0,0
2026-04-13,chr-05,15,17,0,2
2026-04-14,chr-05,8,12,0,2
2026-04-15,chr-05,5,7,0,1
2026-04-16,chr-05,0,4,0,2
2026-04-17,chr-05,0,4,1,2
2026-04-18,chr-05,0,8,0,2
2026-04-20,chr-05,1,7,0,1
2026-04-21,chr-05,0,19,1,0
2026-04-22,chr-05,2,0,0,2
2026-04-23,chr-05,12,14,0,2
2026-04-24,chr-05,9,15,0,1
2026-04-25,chr-05,9,12,0,0
2026-04-27,chr-05,0,19,1,0
2026-04-28,chr-05,4,34,0,0
2026-04-29,chr-05,0,14,0,1
2026-04-30,chr-05,3,16,0,2
2026-05-01,chr-05,9,24,0,0
2026-05-02,chr-05,4,7,0,0
2026-05-04,chr-05,4,1,1,1
2026-05-05,chr-05,8,25,0,2
2026-05-06,chr-05,1,5,0,1
2026-05-07,chr-05,4,17,0,1
2026-05-08,chr-05,1,13,0,1
2026-05-09,chr-05,11,5,0,1
2026-05-11,chr-05,0,10,1,2
2026-05-12,chr-05,1,0,0,0
2026-05-13,chr-05,8,12,0,0
2026-05-14,chr-05,11,0,0,1
2026-05-15,chr-05,5,7,1,2
2026-05-16,chr-05,6,16,0,1
2026-05-18,chr-05,8,21,0,1
